ENGLISH;FRENCH;GERMAN;ITALIAN;PORTUGUESE;SPANISH;CODE;CATEGORY
AFRICA    ;AFRIQUE   ;AFRIQUE   ;AFRIQUE   ;AFRICA    ;AFRIQUE   ;AFR;CONTINENT
AMERICA;AMERIQUE;AMERIKA;AMERICA;AMÉRICA;AMERICA;AMQ;CONTINENT
ANTARCTIQUE;ANTARCTIC;ANTARKTIS;ANTARTICO;ANTARTICO;ANTARTICO;ANT;CONTINENT
ASIA      ;ASIE      ;ASIA      ;ASIA      ;ASIA      ;ASIEN     ;ASI;CONTINENT
EUROPE    ;EUROPA    ;EUROPA    ;EUROPA    ;EUROPA    ;EUROPE    ;EUR;CONTINENT
NORTH AMERICA;AMERIQUE DU NORD;NORTH AMERICA;NORD AMERICA;AMÉRICA DO NORTE;AMERICA DEL NORTE;NAM;CONTINENT
OCEANIA   ;OCEANIE   ;OCEANIA   ;OCEANIA   ;OCEANIA   ;OZEANIEN  ;OCE;CONTINENT
SOUTH AMERICA   ;AMERIQUE DU SUD;SÜDAMERIKA  ;SUD AMERICA;AMÉRICA DO SUL ;AMERICA DEL SUR ;SAM;CONTINENT
