CODE;NAME;CODECITY;LONGITUDE;LATITTUDE;CATEGORY
BBR;BAILLIF;336;16.166668;-61.75;AIRPORT
BAL;BATMAN;343;37.86667;41.11667;AIRPORT
BLJ;BATNA;344;35.55;6.166667;AIRPORT
EBR;DOWNTOWN;345;6.45;17.366667;AIRPORT
BTR;RYAN;345;30.533333;-91.15;AIRPORT
BMT;BEAUMONT MUNI;357;18.5;-73.95;AIRPORT
BPT;JEFFERSON COUNTY;357;30.083332;-94.1;AIRPORT
CBH;LEGER;359;31.65;-2.25;AIRPORT
BEW;BEIRA;363;-19.8;34.9;AIRPORT
BJA;BEJAIA;364;36.75;5.083333;AIRPORT
BEL;VAL DE CANS;366;-1.383611;-48.468613;AIRPORT
BHD;GEORGE BEST BELFAST CITY;367;54.618057;-5.8725;AIRPORT
EGO;BELGOROD;370;50.63333;36.65;AIRPORT
TZA;MUNICIPAL;371;17.534721;-88.30278;AIRPORT
BZE;PHILIP S.W.GOLDSON INT;371;17.533333;-88.3;AIRPORT
BEP;BELLARY;372;15.162778;76.882774;AIRPORT
BFU;BENGBU;378;32.940834;117.36083;AIRPORT
BKS;PADANGKEMILING;379;-3.766667;102.3;AIRPORT
BGV;BENTO GONCALVES;384;-29.166668;-51.516666;AIRPORT
BPU;BEPPU;387;33.3;131.53334;AIRPORT
JBK;BERKELEY;395;37.95;-122.3;AIRPORT
BER;BERLIN METROPOLITAN AREA;396;52.516666;13.4;AIRPORT
TXL;BERLIN-TEGEL / OTTO LILIENTHAL;396;52.56111;13.289444;AIRPORT
GWW;RAF GATOW;396;52.474445;13.138056;AIRPORT
THF;TEMPELHOF;396;52.489723;13.416667;AIRPORT
BRN;BELP;397;46.91389;7.496944;AIRPORT
BHR;BHARATPUR AIRPORT;403;27.683332;84.416664;AIRPORT
BHU;BHAVNAGAR;407;21.75;72.183334;AIRPORT
BBI;BHUBANESWAR;416;20.244444;85.81778;AIRPORT
BFE;BIELEFELD;423;52.0;8.5;AIRPORT
PAB;BILASPUR;432;22.5;82.166664;AIRPORT
BIO;SONDICA;433;43.30111;-2.910556;AIRPORT
BIR;BIRATNAGAR;440;26.434723;87.28333;AIRPORT
BHM;BIRMINGHAM;446;33.566666;-86.75;AIRPORT
BSK;BISKRA;449;34.8;5.733333;AIRPORT
BPH;BISLIG;450;8.2;126.36667;AIRPORT
OXB;OSVALDO VIEIRA INTERNATIONAL;452;11.894722;-15.653611;AIRPORT
BVB;BOA VISTA;460;2.833333;-60.683334;AIRPORT
BZO;BOLZANO;473;46.45;11.316667;AIRPORT
ZFQ;GARE DE BORDEAUX;477;48.683334;1.1;AIRPORT
BOD;M?RIGNAC;477;44.82861;-0.715278;AIRPORT
BOS;LOGAN INTERNATIONAL;481;42.363056;-71.0;AIRPORT
BYK;BOUAKE;486;7.733333;-5.066667;AIRPORT
BOH;BOURNEMOUTH INTERNATIONAL;492;50.78;-1.8425;AIRPORT
BRF;BRADFORD;494;51.0;-3.183333;AIRPORT
ZFC;BUS STATION;494;51.0;-3.183333;AIRPORT
BFD;BRADFORD;494;41.8;-78.63333;AIRPORT
BJP;BRAGANCA PAULISTA;496;-4.633333;-39.766666;AIRPORT
BTS;M. R. ?TEF?NIKA;504;48.166668;17.216667;AIRPORT
BRV;BREMERHAVEN;510;53.75;8.916667;AIRPORT
BQT;BREST;512;52.11667;23.883333;AIRPORT
BES;BREST LESQUIN;512;48.45;-4.416667;AIRPORT
BDR;IGOR I. SIKORSKY MEM.;514;41.166668;-73.13333;AIRPORT
BNE;BRISBANE INTERNATIONAL;518;-27.383333;153.11667;AIRPORT
BRS;BRISTOL;519;51.38333;-2.716667;AIRPORT
FZO;FILTON;519;51.519444;-2.590833;AIRPORT
BRO;SOUTH PADRE IS. INTL;525;25.916668;-97.416664;AIRPORT
BGA;PALO NEGRO;528;7.1;-73.15;AIRPORT
BUD;FERIHEGY;530;47.43667;19.255556;AIRPORT
AEP;ARPT. JORGE NEWBERY;533;-34.559166;-58.415558;AIRPORT
ZFZ;BUFFALO DEPEW RR;534;50.8;-1.683333;AIRPORT
BJM;INTERNATIONAL;537;-3.316667;29.316668;AIRPORT
BUR;BOB HOPE;543;34.2;-118.35;AIRPORT
BRL;BURLINGTON;547;40.783333;-91.11667;AIRPORT
BBF;BURLINGTON;547;42.5;-71.183334;AIRPORT
BTZ;BURSA AIRPORT;550;40.2325;29.009443;AIRPORT
YEI;YENISEHIR;550;40.25528;29.5625;AIRPORT
BZG;BYDGOSZCZ I. J. PADEREWSKI AIRPORT;553;53.09667;17.977777;AIRPORT
CBS;ORO NEGRO;556;10.383333;-71.46667;AIRPORT
CFB;CABO FRIO;558;-22.883333;-42.016666;AIRPORT
CFR;CARPIQUET;564;49.183334;-0.45;AIRPORT
CAG;ELMAS;566;39.25139;9.05;AIRPORT
CJA;CAJAMARCA;571;-7.133333;-78.5;AIRPORT
CJC;EL LOA;575;-22.483334;-68.916664;AIRPORT
CYP;CALBAYOG;578;12.083333;124.55;AIRPORT
YBW;SPRINGBANK;580;51.103058;-114.37444;AIRPORT
CBG;CAMBRIDGE;589;52.2;0.183333;AIRPORT
CGE;CAMBRIDGE;589;38.55;-76.03333;AIRPORT
JHY;HYATT REGENCY H/P;589;42.36667;-71.102776;AIRPORT
CMT;CAMETA;592;-2.25;-49.5;AIRPORT
CPE;CAMPECHE INTERNATIONAL;593;19.833332;-90.51667;AIRPORT
CPV;JOAO SUASSUNA;594;-7.266667;-35.9;AIRPORT
VCA;CAN THO;599;10.085;105.711945;AIRPORT
CBR;CANBERRA;600;-35.306946;149.195;AIRPORT
CWL;CARDIFF;610;51.4;-3.35;AIRPORT
CAU;CARUARU;620;-8.283333;-35.966667;AIRPORT
CUP;CARUPANO;621;10.666667;-63.25;AIRPORT
CAS;ANFA;623;33.583332;-7.5;AIRPORT
CAC;CASCAVEL;624;-24.95;-53.483334;AIRPORT
CYZ;CAUAYAN;633;16.916668;121.75;AIRPORT
CAY;ROCHAMBEAU;638;4.933333;-52.333332;AIRPORT
CEB;MACTAN-CEBU INTERNATIONAL;639;10.3075;125.97945;AIRPORT
CID;CEDAR RAPIDS;640;41.884724;-91.71083;AIRPORT
CGQ;CHANGCHUN;654;43.916668;125.333336;AIRPORT
CGD;CHANGDE;655;29.033333;111.683334;AIRPORT
CSX;CHANGSHA;658;28.071112;112.958336;AIRPORT
HHA;HUANGHUA INTERNATIONAL;658;28.189167;113.21972;AIRPORT
CIH;CHANGZHI;660;36.183334;113.13333;AIRPORT
CZX;CHANGZHOU;661;31.7;119.96667;AIRPORT
