CATEGORY,SUBCATEGORY,REGEXPR,PRIMARYKEY,FOREIGNKEY
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_EN_MGCD,^[0-9]+(\.\d+)?\s+(MGCD|MEGACANDELAS|MEGACANDELA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_KCD,^[0-9]+(\.\d+)?\s+(KCD|KILOCANDELA|KILOCANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_HCD,^[0-9]+(\.\d+)?\s+(HCD|HECTOCANDELA|HECTOCANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_FR_DACD,^[0-9]+(\.\d+)?\s+(DACD|D�CACANDELA|D�ECACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_EN_DACD,^[0-9]+(\.\d+)?\s+(DACD|DECACANDELAS|DECACANDELA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_CD,^[0-9]+(\.\d+)?\s+(CD|CANDELA|CANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_FR_DCD,^[0-9]+(\.\d+)?\s+(DCD|D�CACANDELA|D�CACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_EN_DCD,^[0-9]+(\.\d+)?\s+(DCD|DECACANDELAS|DECACANDELA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_CCD,^[0-9]+(\.\d+)?\s+(CCD|CENTICANDELA|CENTICANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_MCD,^[0-9]+(\.\d+)?\s+(MCD|MILLICANDELA|MILLICANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_UCD,^[0-9]+(\.\d+)?\s+(UCD|MICROCANDELA|MICROCANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_NCD,^[0-9]+(\.\d+)?\s+(NCD|NANOCANDELA|NANOCANDELLA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_PCD,^[0-9]+(\.\d+)?\s+(PCD|PICOCANDELA|PICOCANDELLAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_FCD,^[0-9]+(\.\d+)?\s+(FCD|FEMTOCANDELA|FEMTOCANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_ACD,^[0-9]+(\.\d+)?\s+(ACD|ATTOCANDELA|ATTOCANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_ZPCD,^[0-9]+(\.\d+)?\s+(ZPCD|ZPTOCANDELA|ZEPTOCANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_YCCD,^[0-9]+(\.\d+)?\s+(YCCD|YOCTOCANDELA|YOCTOCANDELAS)$,,
LUMINOUS_ILLUMINANCE,LUMINOUS_ILLUMINANCE_LM,^[0-9]+(\.\d+)?\s+(LM|LUMEN)$,,
LUMINOUS_ILLUMINANCE,LUMINOUS_ILLUMINANCE_LX,^[0-9]+(\.\d+)?\s+(LX|LUX)$,,
LUMINOUS_ILLUMINANCE,LUMINOUS_ILLUMINANCE_PH,^[0-9]+(\.\d+)?\s+(PH|PHOT)$,,
TENSION,TENSION,^[0-9]+(\.\d+)?\s+(V|VOLTT)$,,
ELECTRIC_POWER,ELECTRIC_POWER,^[0-9]+(\.\d+)?\s+(A|AMPERE|AMPERES|AMP�RES)$,,
POWER_WATT,POWER_WATT,^[0-9]+(\.\d+)?\s+(W|WATT)$,,
CAPACITY,CAPACITY,^[0-9]+(\.\d+)?\s+(F|FARAD)$,,
FREQUENCY,FREQUENCY,^[0-9]+(\.\d+)?\s+(HZ|HERTZ)$,,
ELECTRIC_QUANTITY,ELECTRIC_QUANTITY,^[0-9]+(\.\d+)?\s+(C|COULOMB)$,,
ENERGY,ENERGY,^[0-9]+(\.\d+)?\s+(J|JOULE|JOULES)$,,
ELECTRIC_FIELD,ELECTRIC_FIELD,^[0-9]+(\.\d+)?\s+(V\/M|VOLT-METER|VOLT-METERS|VOLT-M�TRE|VOLT-M�TRES)$,,
POWER_NEWTON,POWER_NEWTON,^[0-9]+(\.\d+)?\s+(N|NEWTON|NEWTONS)$,,
GRAVITY,GRAVITY,^[0-9]+(\.\d+)?\s+(N\/KG|NEWTON\/KILOGRAMME|NEWTONS\/KILOGRAMMES)$,,
ENERGY,CALORIE _KCAL,^[0-9]+(\.\d+)?\s+(KCAL|KILOCALORIE|KILOCALERIES)$,,
ENERGY,CALORIE _FR_MCAL,^[0-9]+(\.\d+)?\s+(MCAL|M�GACALORIE|M�GACALERIES)$,,
ENERGY,CALORIE _EN_MCAL,^[0-9]+(\.\d+)?\s+(MCAL|MEGACALERIES|MEGACALORIE)$,,
ENERGY,CALORIE _CAL,^[0-9]+(\.\d+)?\s+(CAL|CALORIE|CALERIES)$,,
ENERGY,FRIGORIE_FG,^[\+-]?[0-9]+(\.\d+)?\s+(FG|FRIGORIE|FRIGORIES)$,,
PRESSURE_AND_CONTRAINT,PRESSURE_AND_CONTRAINT_HPA,^[0-9]+(\.\d+)?\s+(HPA|HECTOPASCAL|HECTOPASCALS)$,,
PRESSURE_AND_CONTRAINT,PRESSURE_AND_CONTRAINT_KPA,^[0-9]+(\.\d+)?\s+(KPA|KILOPASCAL|KILOPASCALS)$,,
PRESSURE_AND_CONTRAINT,PRESSURE_AND_CONTRAINT_FR_MPA,^[0-9]+(\.\d+)?\s+(MPA|M�GAPASCAL|M�GAOPASCALS)$,,
PRESSURE_AND_CONTRAINT,PRESSURE_AND_CONTRAINT_EN_MPA,^[0-9]+(\.\d+)?\s+(MPA|MEGAPASCALS|MEGAPASCAL)$,,
PRESSURE_AND_CONTRAINT,PRESSURE_AND_CONTRAINT_GPA,^[0-9]+(\.\d+)?\s+(GPA|GIGAPASCAL|GIGAPASCALS)$,,
PRESSURE_AND_CONTRAINT,PRESSURE_AND_CONTRAINT_FR_TPA,^[0-9]+(\.\d+)?\s+(TPA|T�RAPASCAL|T�RAPASCALS)$,,
PRESSURE_AND_CONTRAINT,PRESSURE_AND_CONTRAINT_EN_TPA,^[0-9]+(\.\d+)?\s+(TPA|TERAPASCALS|TERAPASCAL)$,,
PRESSURE_AND_CONTRAINT,PRESSURE_AND_CONTRAINT_BAR,^[0-9]+(\.\d+)?\s+(BAR|BARS)$,,
TIME_SECONDS,TIME_SECONDS_FR_YS,^[0-9]+(\.\d+)?\s+(YS|YOTTASECONDE|YOTTASECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_YS,^[0-9]+(\.\d+)?\s+(YS|YOTTASECOND|YOTTASECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_ZS,^[0-9]+(\.\d+)?\s+(ZS|ZETTASECONDE|ZETTASECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_ZS,^[0-9]+(\.\d+)?\s+(ZS|ZETTASECOND|ZETTASECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_ES,^[0-9]+(\.\d+)?\s+(ES|EXASECONDE|EXASECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_ES,^[0-9]+(\.\d+)?\s+(ES|EXASECOND|EXASECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_PS,^[0-9]+(\.\d+)?\s+(PS|P�TASECONDE|P�TASECONDES)$,,
